x	y
7	33
14	32
52	26
64	29
90	26
97	24
116	25
129	26
140	28
166	26
197	30
215	29
247	36
264	43
280	50
287	55
316	57
333	63
369	70
393	77
417	76
432	79
457	83
470	87
476	89
472	86
501	91
24	66
44	65
65	65
90	60
142	56
3	114
12	107
31	105
55	104
80	96
105	93
126	96
133	89
174	82
195	76
201	77
243	67
6	207
17	202
28	198
44	193
78	179
88	172
110	167
141	163
164	162
182	156
194	152
214	152
237	155
268	161
293	158
304	158
314	161
329	165
340	165
354	166
369	170
397	174
426	184
446	194
460	200
485	210
509	222
13	244
45	227
74	220
88	215
86	215
98	214
123	205
131	205
149	201
172	190
189	193
218	185
225	186
259	189
291	193
316	197
336	198
359	201
374	206
395	209
409	214
434	227
460	241
480	251
1	298
9	288
39	260
5	351
20	333
34	317
58	290
67	283
76	278
103	257
132	243
156	236
168	230
182	225
192	225
231	225
249	224
263	227
272	228
307	230
320	230
342	234
355	238
383	245
389	248
404	252
416	261
429	267
444	270
472	291
485	302
499	309
8	423
21	413
41	404
55	390
58	394
73	381
105	349
113	337
121	324
138	305
159	290
182	284
196	286
224	285
244	291
264	302
288	322
308	346
325	365
331	375
352	384
371	396
387	401
24	458
31	446
47	442
62	433
100	414
139	406
13	511
48	507
61	507
68	509
90	501
102	504
109	498
124	497
140	496
140	493
169	494
186	495
207	493
229	492
243	491
262	497
294	505
309	508
18	168
33	153
61	145
61	146
88	133
113	129
119	129
124	132
146	129
157	122
174	118
209	111
220	114
230	114
244	104
271	96
297	96
306	91
326	96
346	94
4	392
20	374
36	365
48	349
62	340
67	333
84	321
95	304
105	291
117	279
56	472
68	467
96	458
123	445
136	438
159	426
179	406
179	388
188	367
73	276
73	323
88	366
96	300
120	383
133	368
140	364
165	331
120	375
180	454
213	451
231	455
232	452
258	460
287	467
318	481
325	482
347	488
380	497
391	501
155	343
174	262
188	258
200	254
219	253
241	259
258	257
275	265
293	280
317	304
326	313
341	325
361	347
385	359
392	370
418	386
443	405
462	419
471	425
481	435
448	443
416	440
398	437
367	428
338	420
313	403
294	391
276	380
270	357
255	340
242	314
215	344
226	360
239	387
255	406
282	425
290	431
301	439
329	447
368	457
369	458
388	466
429	476
449	482
469	491
483	493
495	498
256	406
291	127
300	130
329	126
350	130
358	127
392	130
416	114
421	115
436	114
459	119
503	127
294	15
306	21
330	22
333	25
339	24
362	31
383	36
420	42
456	49
485	51
503	55
279	425
327	264
355	287
384	318
401	331
431	354
452	368
473	387
496	398
504	404
511	412
342	329
350	340
350	285
408	8
438	9
458	9
461	10
480	11
376	427
393	282
409	295
420	303
451	319
479	342
485	349
503	363
396	407
412	140
446	150
458	159
487	166
504	179
509	180
504	454
