x	y
17	15
25	16
48	5
76	1
358	6
371	13
381	17
412	26
416	32
430	40
461	64
481	93
495	127
498	127
502	132
502	139
511	159
13	66
23	51
45	37
56	33
60	27
76	17
8	116
18	100
50	76
51	75
81	56
82	50
88	50
125	29
123	30
159	15
181	11
210	7
229	14
251	13
271	19
276	16
287	20
303	30
331	38
346	45
356	54
379	64
392	86
404	105
410	117
419	142
433	166
436	201
443	229
448	254
450	281
446	310
448	329
440	348
439	363
436	383
435	396
426	408
417	436
407	459
397	475
374	498
361	502
107	505
83	485
66	473
1	171
9	160
26	139
54	117
64	107
102	80
108	73
126	68
132	60
164	47
179	40
190	42
418	501
431	484
444	457
457	436
467	421
471	392
475	364
484	349
484	338
484	311
488	282
491	265
498	247
499	221
497	218
486	199
481	182
473	170
470	149
462	131
457	125
452	110
437	95
421	72
11	224
21	203
39	178
55	157
64	152
94	132
113	119
123	107
141	100
159	86
180	78
211	69
224	68
241	64
261	61
274	58
310	71
332	81
343	92
368	114
380	126
378	128
383	144
391	157
394	166
399	191
401	208
396	232
396	243
387	264
379	290
364	307
351	331
329	357
301	365
296	366
274	377
245	379
226	379
211	370
195	364
177	348
152	329
457	507
459	495
18	109
1	438
3	444
511	13
22	482
26	487
22	312
24	279
41	241
38	236
46	230
44	227
65	199
80	176
26	372
25	377
34	409
32	410
33	409
40	430
40	440
68	146
58	299
64	281
76	268
83	289
87	293
87	304
91	328
98	343
110	369
124	395
146	414
150	420
171	433
191	447
233	455
246	460
278	456
300	441
311	442
329	424
335	409
349	392
363	385
380	352
394	333
415	302
419	280
59	342
64	361
78	388
93	404
95	407
112	423
82	439
78	439
107	460
121	468
144	477
168	484
198	493
209	495
232	493
262	495
268	493
281	499
281	493
297	496
307	491
333	478
357	466
78	251
83	239
98	212
121	173
133	157
144	145
153	135
175	123
204	110
237	106
250	107
263	107
288	111
302	116
307	117
325	129
336	141
353	163
368	191
128	232
129	229
142	203
147	193
155	189
173	163
202	154
214	145
231	142
260	146
272	146
296	156
304	163
316	170
332	190
340	215
122	304
121	322
129	343
152	373
161	385
172	388
180	397
200	408
211	413
228	417
268	416
294	402
317	390
144	359
150	89
164	225
176	210
196	193
225	183
237	180
270	186
291	197
302	211
310	252
306	265
299	277
279	291
246	314
236	311
217	296
211	288
206	264
202	252
205	240
214	227
251	212
271	228
279	236
171	289
187	307
190	313
213	335
233	339
251	339
267	343
299	330
313	314
320	308
337	283
348	265
349	251
163	431
173	292
206	230
243	261
316	171
324	307
309	394
454	7
475	22
479	29
494	53
511	69
385	407
398	387
412	360
468	20
481	191
508	11
506	414
509	386
497	455
502	461
500	483
498	511
