x	y
450	3
474	26
491	40
510	62
414	7
423	12
431	23
448	42
457	51
463	54
481	69
494	88
19	6
33	1
364	4
378	12
394	22
408	47
423	59
432	68
438	77
468	92
485	107
495	115
7	42
28	31
58	15
71	10
303	3
325	18
353	28
387	64
399	81
422	105
436	115
14	105
22	97
35	77
50	64
73	54
83	53
96	43
102	41
126	34
140	48
119	56
105	64
91	69
63	88
29	125
15	141
4	191
11	178
38	157
51	143
66	127
85	107
97	97
115	84
138	75
159	68
175	65
176	61
191	59
219	59
239	59
246	58
261	62
281	64
310	77
338	89
356	106
372	123
11	217
13	204
3	266
5	257
13	250
31	230
41	218
54	188
64	168
72	161
15	295
21	275
5	357
18	340
22	329
24	319
32	314
37	297
41	285
46	267
54	256
58	242
66	230
67	222
77	209
95	182
109	158
116	154
126	143
5	409
17	392
26	382
41	350
51	332
61	307
67	288
79	268
92	231
111	203
124	187
143	161
178	147
3	455
16	442
23	434
34	411
45	394
48	388
53	382
62	366
77	337
87	309
95	290
104	267
114	252
117	238
125	226
134	214
138	202
160	186
172	175
200	169
219	164
235	164
260	179
272	185
286	193
294	205
316	225
327	255
333	276
331	288
332	303
334	312
334	342
330	361
331	388
319	416
317	434
309	449
302	451
291	475
278	495
269	499
14	477
34	453
48	437
61	412
73	396
91	368
103	347
114	317
114	306
117	301
126	290
136	265
137	258
148	237
172	207
179	200
24	508
35	494
42	483
50	470
58	457
70	438
82	430
93	416
102	398
114	375
118	373
123	352
137	323
151	287
167	265
181	236
204	216
52	509
71	481
79	470
83	457
97	441
108	428
114	417
124	404
138	375
148	361
154	344
168	318
102	501
124	488
137	464
158	445
161	439
173	405
183	390
191	377
206	348
208	333
213	303
218	282
225	267
142	501
153	482
159	483
167	469
180	449
187	443
195	433
209	426
232	402
233	398
234	390
248	362
252	349
264	303
265	296
270	260
264	235
262	211
241	207
214	493
229	475
250	442
266	426
282	405
292	386
303	354
306	346
314	309
23	59
44	47
53	40
82	28
104	22
104	21
131	18
153	13
178	9
202	13
240	18
267	29
289	35
319	47
331	51
357	77
376	92
397	115
403	126
341	492
349	477
357	449
360	435
495	9
32	90
38	82
56	101
166	505
180	496
202	466
213	455
228	445
243	414
254	401
266	390
272	367
272	366
276	359
285	333
289	309
291	295
296	261
295	251
292	232
97	477
111	459
123	451
141	424
159	386
170	367
177	347
184	329
193	284
203	246
212	232
127	113
124	114
146	101
162	92
172	93
181	89
209	88
222	84
247	89
282	97
312	107
333	129
139	499
158	38
177	32
202	32
223	39
231	40
147	131
173	122
180	117
206	113
243	116
269	117
284	120
295	509
312	487
327	459
335	443
345	421
356	388
360	372
355	342
356	323
359	309
360	282
349	249
349	240
347	231
336	219
327	202
309	173
309	176
286	154
270	148
260	142
212	385
225	364
233	340
235	320
240	289
247	255
239	503
250	482
267	468
284	450
294	425
303	411
237	503
292	511
307	450
325	159
326	160
348	180
356	196
363	218
376	241
382	270
391	286
399	305
396	306
403	335
408	362
410	385
408	413
407	430
405	455
398	477
388	490
360	149
371	162
373	168
374	177
387	185
396	205
401	236
407	257
415	270
413	283
424	299
424	309
427	310
423	310
433	337
433	349
430	350
432	376
437	394
445	410
458	443
463	458
472	472
485	485
492	493
509	508
352	509
363	488
374	470
377	448
382	433
380	402
379	387
383	352
384	332
351	190
399	163
423	188
439	215
451	238
455	255
463	279
473	306
495	345
503	367
509	384
420	146
437	160
451	187
462	203
467	208
481	247
482	259
490	267
502	299
423	233
429	244
430	243
436	266
437	281
451	302
450	312
455	317
455	320
469	345
474	369
475	370
487	388
490	396
491	410
503	427
508	439
430	465
426	479
450	481
460	503
465	504
454	7
465	17
475	24
460	150
470	169
490	192
501	199
460	390
466	402
466	400
473	423
478	428
486	445
503	475
510	482
484	147
504	237
508	256
499	228
510	58
500	161
