x	y
9	52
26	27
37	17
37	12
38	5
22	106
25	96
50	74
48	67
73	52
90	39
91	37
107	21
117	14
462	20
483	38
510	65
3	186
12	175
29	152
45	130
47	126
58	114
70	95
82	90
96	72
113	57
132	39
157	22
167	7
173	1
8	242
24	231
38	207
49	192
66	159
75	141
87	128
98	119
119	99
133	85
138	77
139	77
144	67
163	52
185	37
223	9
226	10
9	297
26	277
48	245
66	225
89	208
119	178
130	167
153	143
179	125
194	109
222	83
233	75
244	70
267	63
290	52
306	46
328	41
363	46
394	57
421	66
11	356
13	355
15	348
32	328
39	314
55	299
66	280
74	268
86	252
99	239
110	231
122	215
141	203
162	190
174	166
197	149
212	141
248	127
269	123
299	117
315	115
332	117
362	115
379	122
402	130
434	144
442	148
472	171
487	189
1	409
16	401
14	395
40	373
53	356
58	353
67	339
74	330
94	318
113	307
127	296
151	287
154	285
170	270
186	256
203	244
226	233
230	235
248	227
275	216
301	213
311	213
339	208
364	214
391	225
414	226
439	241
462	259
469	261
477	268
497	277
1	446
24	429
35	419
48	409
63	393
87	365
104	356
113	345
124	340
143	325
163	316
193	304
217	300
237	293
247	293
267	287
288	285
306	279
325	276
337	280
355	277
375	286
405	299
423	311
429	313
439	322
465	337
481	344
501	354
11	471
29	459
45	447
59	434
66	430
78	422
83	410
115	389
129	370
152	359
175	343
188	341
216	332
251	321
271	316
288	313
303	310
325	309
359	315
387	324
395	327
10	510
23	501
35	496
35	489
60	475
92	446
120	420
131	414
140	404
168	387
165	389
173	381
197	370
235	361
256	352
279	348
313	342
340	345
355	347
380	355
406	354
421	362
445	369
466	377
478	386
501	397
57	509
78	496
108	473
123	459
129	449
151	436
180	417
199	408
208	399
229	398
245	392
264	386
304	382
337	381
369	388
387	386
401	389
420	400
441	401
455	410
479	427
509	449
190	499
222	490
241	487
253	488
281	481
304	476
323	477
353	480
359	478
379	486
393	489
412	491
443	502
449	507
272	510
295	510
318	510
338	508
368	510
16	290
18	431
117	507
142	487
159	480
174	473
201	466
220	458
246	458
277	445
294	449
320	443
331	446
347	447
353	449
380	451
403	458
431	466
476	481
508	494
506	492
68	25
74	11
97	159
113	145
121	138
142	114
171	83
201	62
216	51
231	42
245	37
269	27
290	12
320	8
322	5
360	12
381	18
392	20
404	23
424	31
431	43
436	40
464	65
472	73
485	92
500	101
508	112
103	238
114	59
113	17
107	274
122	268
141	247
157	234
163	230
181	218
198	209
230	198
243	195
267	189
280	184
310	181
328	175
324	180
333	174
342	179
380	182
393	185
407	193
117	341
172	50
191	183
209	176
226	165
251	157
281	155
318	149
342	149
356	148
385	155
413	163
424	173
439	184
457	204
485	228
499	242
182	445
216	429
243	423
264	418
286	414
315	412
358	415
384	418
406	426
417	431
432	440
438	437
185	112
233	264
257	253
265	252
292	246
329	246
349	244
377	250
385	252
396	261
418	267
436	276
458	290
469	297
479	310
260	96
278	94
306	84
307	84
330	81
340	76
366	85
384	89
405	96
420	102
440	106
465	126
480	136
499	153
439	279
476	385
482	181
485	181
504	109
509	7
