x	y
9	66
26	26
68	510
62	487
52	462
40	439
36	415
30	399
34	394
21	351
18	325
20	301
18	287
19	266
19	230
22	216
21	202
24	177
26	150
38	107
47	85
49	76
56	56
65	21
11	484
19	477
27	505
54	169
66	139
69	111
81	93
87	72
93	53
111	25
50	211
56	236
53	256
53	274
57	279
54	290
57	290
60	307
61	335
69	370
72	392
73	415
82	447
90	477
103	494
87	178
94	157
98	136
111	101
118	83
136	57
149	43
156	23
171	15
177	9
82	215
83	239
90	259
88	280
91	295
90	303
93	323
105	352
115	394
133	422
112	502
110	32
120	459
135	474
144	485
154	489
181	509
120	187
123	168
125	166
127	149
139	122
144	115
158	96
170	75
181	53
198	39
210	25
238	12
256	5
443	1
470	14
474	21
510	34
121	248
122	261
122	268
128	303
130	319
129	324
138	347
143	364
153	396
156	412
163	421
179	447
178	448
190	466
188	469
212	496
155	211
156	175
155	156
148	267
154	283
163	309
167	335
181	369
188	382
198	403
195	410
211	432
239	454
259	465
283	485
311	510
188	279
203	315
211	334
213	346
212	363
234	402
253	422
274	436
284	443
300	462
323	479
187	145
191	115
206	85
216	68
233	56
240	52
244	47
281	32
308	26
317	20
341	16
348	18
369	22
380	18
413	26
443	40
450	42
460	52
487	69
497	72
511	99
187	204
191	220
194	228
213	253
226	281
236	306
253	327
265	338
288	358
286	358
294	365
300	375
305	382
316	413
327	430
343	457
360	472
363	484
375	496
382	509
224	139
230	114
234	113
246	92
263	74
276	72
314	59
341	57
369	55
375	56
401	64
417	68
436	78
470	101
484	115
502	140
215	175
228	208
224	214
232	225
236	232
252	255
258	278
275	308
248	498
261	511
264	510
261	378
280	402
252	498
255	155
255	138
269	125
287	101
328	94
342	92
374	91
393	98
412	111
426	115
435	121
456	136
472	145
480	156
486	162
503	183
251	188
255	197
264	220
270	227
271	237
288	263
285	265
298	292
310	311
316	331
320	344
328	357
330	364
341	386
347	401
359	415
374	443
391	458
410	479
425	494
442	505
258	81
288	159
284	151
300	131
323	126
337	131
352	137
355	138
375	163
286	184
297	212
310	252
319	268
333	281
339	303
346	319
358	356
373	380
403	415
423	438
448	463
464	475
485	497
287	267
305	461
321	196
338	226
348	248
361	273
371	309
375	324
391	347
400	373
323	154
340	166
351	184
363	204
383	222
390	232
398	240
402	249
415	272
423	291
443	317
444	329
455	347
463	357
473	377
480	386
501	406
377	437
403	149
417	182
417	197
442	212
445	213
469	242
489	265
392	465
396	463
400	307
404	315
412	331
417	344
429	362
434	373
440	375
449	393
463	416
481	437
492	454
429	239
440	254
451	274
453	278
468	308
483	325
436	449
452	466
459	476
441	164
465	185
472	194
473	195
490	216
506	232
508	243
511	70
507	319
