x	y
9	489
23	493
49	501
68	510
5	12
3	9
99	6
73	12
54	23
29	32
19	43
6	48
15	453
37	459
60	470
81	473
88	478
111	485
114	482
124	486
134	491
147	495
168	499
198	502
217	507
235	12
223	15
200	21
179	20
151	29
125	33
112	38
104	45
86	47
64	58
44	68
18	87
18	412
42	424
74	438
104	450
109	448
120	451
138	454
166	462
200	467
211	469
237	481
242	481
273	485
295	489
315	491
340	495
364	504
389	508
406	508
358	5
339	6
317	17
292	23
271	35
232	45
224	45
207	46
209	52
199	53
179	56
159	56
132	63
129	66
129	68
107	74
85	83
65	95
44	115
478	4
472	11
455	25
450	24
420	43
389	56
374	63
359	66
329	75
314	82
285	91
268	101
264	97
256	104
246	106
215	113
203	115
179	117
162	119
154	123
133	127
128	132
120	132
505	20
493	31
472	54
452	63
438	66
412	80
393	88
371	97
339	108
309	117
278	131
245	139
211	148
208	147
177	152
148	155
138	159
127	158
105	171
83	185
75	196
63	222
57	232
53	264
49	282
54	295
62	318
76	328
90	336
102	343
128	348
142	349
170	346
191	336
202	334
212	335
232	331
255	320
279	311
295	309
495	72
482	85
470	96
456	118
440	133
417	147
386	160
354	170
338	173
310	184
301	181
294	182
281	186
269	187
241	185
232	187
254	163
276	161
294	157
317	148
334	147
362	136
389	124
420	110
440	105
444	101
494	163
487	169
478	180
457	195
443	219
419	240
403	249
386	258
357	275
347	273
498	211
486	222
464	243
453	255
433	270
416	282
389	295
352	307
332	331
315	339
283	347
275	351
253	355
237	358
203	366
188	370
154	378
505	107
496	120
472	145
454	154
457	157
443	173
409	185
393	194
391	192
379	199
357	201
329	210
304	216
296	218
265	218
257	223
416	11
411	15
404	20
386	25
350	37
351	36
339	44
321	47
294	56
278	65
267	70
255	69
236	77
210	78
194	86
174	89
160	90
129	98
112	109
87	119
71	141
63	152
44	180
37	190
34	206
28	216
26	247
509	340
507	340
494	357
474	366
477	370
452	377
445	380
413	390
400	393
389	392
360	399
347	400
332	402
296	412
269	415
262	419
243	422
234	421
196	432
183	427
158	431
149	429
116	416
106	415
97	412
68	399
46	389
31	379
17	374
9	127
31	117
40	127
39	131
33	138
14	172
5	186
6	202
10	284
19	320
30	336
52	353
71	365
86	373
106	378
129	384
153	381
496	253
480	274
468	288
451	299
440	309
424	316
402	327
389	333
374	331
71	146
228	179
196	181
162	184
161	187
157	186
121	198
107	214
96	225
89	247
82	273
81	278
97	303
131	318
82	190
179	217
162	217
139	227
124	240
117	268
126	295
137	308
212	213
394	227
372	233
358	239
331	245
303	249
291	250
275	248
249	257
243	262
216	268
204	268
188	272
163	280
148	273
510	293
489	310
488	314
460	336
449	342
448	340
427	354
407	361
367	368
352	364
329	367
317	374
287	381
267	387
253	389
234	392
218	393
213	395
192	400
177	400
156	392
201	240
180	241
157	248
279	282
277	281
248	290
235	292
221	299
201	303
169	310
159	315
327	276
485	316
31	335
509	408
457	419
448	420
427	419
388	420
390	426
375	425
346	431
330	434
308	442
282	448
253	452
81	404
460	420
473	435
501	457
326	460
340	459
348	462
375	452
414	447
444	458
476	469
491	482
404	482
432	488
452	495
469	503
32	495
